File Created:,Sat Mar 23 14:39:37 2024
Heat Source Version:,9.0.0b26
Simulation Name:,WFK23
User Text:,Westfork Kickapoo
Output:,Solar Radiation Flux blocked by Land Cover (watts/square meter)
""
Datetime,STREAM_KM,LC_T1_S1,LC_T1_S2,LC_T1_S3,LC_T1_S4,LC_T1_S5,LC_T2_S1,LC_T2_S2,LC_T2_S3,LC_T2_S4,LC_T2_S5,LC_T3_S1,LC_T3_S2,LC_T3_S3,LC_T3_S4,LC_T3_S5,LC_T4_S1,LC_T4_S2,LC_T4_S3,LC_T4_S4,LC_T4_S5,LC_T5_S1,LC_T5_S2,LC_T5_S3,LC_T5_S4,LC_T5_S5,LC_T6_S1,LC_T6_S2,LC_T6_S3,LC_T6_S4,LC_T6_S5,LC_T7_S1,LC_T7_S2,LC_T7_S3,LC_T7_S4,LC_T7_S5,LC_T8_S1,LC_T8_S2,LC_T8_S3,LC_T8_S4,LC_T8_S5,Diffuse_Blocked
45108.9583333,27.200,0.0014,0.0013,0.0015,0.0018,0.1012,1.1325,1.5337,2.0774,6.8543,9.0306,0.0000,11.6640,5.5136,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6693,0.0000,0.0000,0.0000,1.2866,7.6286,3.0062,1.6058,0.0000,0.0292,0.0114,0.0154,0.0207,0.0375,0.0000,0.0000,0.0000,0.0000,0.0000,46.8100
45108.9583333,27.100,0.0069,0.0573,0.0017,0.0230,0.0247,4.2298,3.1694,3.8685,3.2066,5.8162,19.7788,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.2451,0.0000,0.0114,0.0000,0.0000,0.0273,0.0375,0.0003,0.0228,0.0273,0.0000,0.0000,0.0000,0.0000,0.0000,26.4199
45108.9583333,27.000,0.0238,0.0093,0.0169,0.0248,0.0363,2.9254,7.9468,3.0540,1.4125,0.8658,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.8826,1.3025,0.3451,0.1991,0.0705,0.0000,0.0001,0.0013,0.0114,0.1050,0.0000,0.0000,0.0000,0.0000,0.0000,46.7131
45108.9583333,26.900,0.0281,0.0005,0.0009,0.0225,0.0610,0.7727,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.3141,0.0000,0.0000,0.0000,0.0000,0.0206,0.0636,0.0188,0.0024,0.0117,0.0000,0.0000,0.0000,0.0000,0.0000,14.7787
45108.9583333,26.800,0.0507,0.0237,0.0108,0.0163,0.0114,0.9214,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.2563,0.0000,0.0000,0.0000,0.0000,0.0584,0.0310,0.0143,0.0035,0.0090,0.0000,0.0000,0.0000,0.0000,0.0000,14.8425
45108.9583333,26.700,0.0972,0.0067,0.0014,0.0001,0.0006,0.1799,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2681,0.0000,0.0000,0.0000,0.0000,0.0915,0.0146,0.0031,0.0006,0.0003,0.0000,0.0000,0.0000,0.0000,0.0000,5.4972
45108.9583333,26.600,0.0955,0.0088,0.0005,0.0016,0.0010,0.2391,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.3635,0.0000,0.0000,0.0000,0.0000,0.0000,13.0017,1.8628,0.0000,2.8601,0.1514,0.0057,5.0722,3.0567,4.7107,0.0941,0.0136,0.0021,0.0009,0.0003,0.0000,0.0000,0.0000,0.0000,0.0000,23.0015
45108.9583333,26.500,0.0846,0.0147,0.0002,0.0039,0.0025,0.1631,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.6629,4.3845,0.0000,0.0000,0.0000,0.1147,0.0000,3.8946,1.7849,3.2643,0.0632,0.0093,0.0020,0.0373,0.0003,0.0000,0.0000,0.0000,0.0000,0.0000,17.7309
45108.9583333,26.400,0.0624,0.0358,0.0066,0.0003,0.0041,0.2845,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1537,0.0000,0.0000,1.2347,0.8147,0.0445,0.0164,0.0051,0.0439,0.0040,0.0000,0.0000,0.0000,0.0000,0.0000,8.3407
45108.9583333,26.300,0.0153,0.0277,0.0502,0.0001,0.0020,0.0482,5.2917,2.0715,1.0922,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3443,0.0000,0.0000,0.0000,0.0000,0.0492,0.0097,0.0025,0.0527,0.0003,0.0000,0.0000,0.0000,0.0000,0.0000,14.9966
45108.9583333,26.200,0.0962,0.0002,0.0054,0.0009,0.0016,0.1376,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1618,0.0000,0.0000,0.5506,0.0000,0.0924,0.0159,0.0022,0.0003,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,6.9709
45108.9583333,26.100,0.0151,0.0936,0.0029,0.0006,0.0008,0.2721,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.4919,0.0000,0.0000,0.0000,0.0000,0.2403,0.0000,0.0000,0.0000,0.0000,0.0933,0.0136,0.0027,0.0004,0.0003,0.0000,0.0000,0.0000,0.0000,0.0000,11.5914
